leg,probability
bb_knockdowns_over_0_5,0.797
bb_knockdowns_over_1_5,0.797
bb_knockdowns_over_2_5,0.707
bb_knockdowns_over_3_5,0.624
bb_knockdowns_over_4_5,0.528
bb_red_phsl_over_40_5,0.14
bb_red_phsl_over_67_5,0.027
bb_red_phsl_over_94_5,0.002
bb_red_phsl_over_121_5,0.0
bb_red_phsl_over_148_5,0.0
bb_red_phsl_over_175_5,0.0
bb_red_phsl_over_202_5,0.0
bb_blue_phsl_over_40_5,0.02
bb_blue_phsl_over_67_5,0.001
bb_blue_phsl_over_94_5,0.0
bb_blue_phsl_over_121_5,0.0
bb_blue_phsl_over_148_5,0.0
bb_blue_phsl_over_175_5,0.0
bb_blue_phsl_over_202_5,0.0
bb_red_tsl_over_40_5,0.624
bb_red_tsl_over_67_5,0.503
bb_red_tsl_over_94_5,0.399
bb_red_tsl_over_121_5,0.251
bb_red_tsl_over_148_5,0.134
bb_red_tsl_over_175_5,0.063
bb_red_tsl_over_202_5,0.027
bb_red_tsl_over_229_5,0.005
bb_red_tsl_over_256_5,0.0
bb_blue_tsl_over_40_5,0.393
bb_blue_tsl_over_67_5,0.167
bb_blue_tsl_over_94_5,0.03
bb_blue_tsl_over_121_5,0.003
bb_blue_tsl_over_148_5,0.0
bb_blue_tsl_over_175_5,0.0
bb_blue_tsl_over_202_5,0.0
bb_blue_tsl_over_229_5,0.0
bb_blue_tsl_over_256_5,0.0
bb_red_win,0.938
bb_blue_win,0.04
bb_draw,0.022
bb_red_win_or_draw,0.96
bb_blue_win_or_draw,0.062
bb_red_ko,0.571
bb_blue_ko,0.007
bb_red_decision,0.367
bb_blue_decision,0.033
