,bb_knockdowns_over_0_5,bb_knockdowns_over_1_5,bb_knockdowns_over_2_5,bb_knockdowns_over_3_5,bb_knockdowns_over_4_5,bb_red_phsl_over_40_5,bb_red_phsl_over_67_5,bb_red_phsl_over_94_5,bb_red_phsl_over_121_5,bb_red_phsl_over_148_5,bb_red_phsl_over_175_5,bb_red_phsl_over_202_5,bb_blue_phsl_over_40_5,bb_blue_phsl_over_67_5,bb_blue_phsl_over_94_5,bb_blue_phsl_over_121_5,bb_blue_phsl_over_148_5,bb_blue_phsl_over_175_5,bb_blue_phsl_over_202_5,bb_red_tsl_over_40_5,bb_red_tsl_over_67_5,bb_red_tsl_over_94_5,bb_red_tsl_over_121_5,bb_red_tsl_over_148_5,bb_red_tsl_over_175_5,bb_red_tsl_over_202_5,bb_red_tsl_over_229_5,bb_red_tsl_over_256_5,bb_blue_tsl_over_40_5,bb_blue_tsl_over_67_5,bb_blue_tsl_over_94_5,bb_blue_tsl_over_121_5,bb_blue_tsl_over_148_5,bb_blue_tsl_over_175_5,bb_blue_tsl_over_202_5,bb_blue_tsl_over_229_5,bb_blue_tsl_over_256_5,bb_red_win,bb_blue_win,bb_draw,bb_red_win_or_draw,bb_blue_win_or_draw,bb_red_ko,bb_blue_ko,bb_red_decision,bb_blue_decision
bb_knockdowns_over_0_5,1.0,1.0,0.7411509537719021,0.608200524917692,0.4920834444752608,0.11127978063551522,0.022213644726983884,0.02491344802535902,,,,,-0.0720589039587634,,,,,,,-0.15051825331442448,-0.15610843613900832,-0.12208911930888756,-0.07032128364422388,-0.013973472722008901,0.034031004725207835,0.017593677565796845,0.04564604905198679,0.01436938052625399,-0.17529568392040665,-0.15880620463040396,-0.07182205844017274,0.02491344802535904,,,,,,0.0873827474364387,-0.0639594788008448,-0.0583731183915576,0.0639594788008448,-0.08738274743643872,0.20724464795713585,-0.05743766310551883,-0.17370231302879932,-0.04052322434349794
bb_knockdowns_over_1_5,1.0,1.0,0.7411509537719021,0.608200524917692,0.4920834444752608,0.11127978063551522,0.022213644726983884,0.02491344802535902,,,,,-0.0720589039587634,,,,,,,-0.15051825331442448,-0.15610843613900832,-0.12208911930888756,-0.07032128364422388,-0.013973472722008901,0.034031004725207835,0.017593677565796845,0.04564604905198679,0.01436938052625399,-0.17529568392040665,-0.15880620463040396,-0.07182205844017274,0.02491344802535904,,,,,,0.0873827474364387,-0.0639594788008448,-0.0583731183915576,0.0639594788008448,-0.08738274743643872,0.20724464795713585,-0.05743766310551883,-0.17370231302879932,-0.04052322434349794
bb_knockdowns_over_2_5,0.741150953771902,0.741150953771902,1.0,0.8206162615354036,0.6639449655578668,0.19397109148883893,0.06040188566958653,0.033614539519336184,,,,,-0.025770398927434556,,,,,,,0.1326059511482434,0.09204005987853513,0.08610532778226265,0.07804619906658863,0.08323693680948507,0.09253487583405108,0.055133936221714766,0.06158805951700233,0.019387926917080345,0.025061567183862214,-0.03803222671854177,-0.022559748468680575,0.0336145395193362,,,,,,0.023004650721422132,-0.014486761617296466,-0.01833535402418166,0.014486761617296704,-0.023004650721422305,-0.012571537217239684,-0.029319442397166023,0.023055840517851266,9.181675792220112e-05
bb_knockdowns_over_3_5,0.608200524917692,0.608200524917692,0.8206162615354037,0.9999999999999999,0.809080926955558,0.23487188154376024,0.08836579808291052,0.04096255594111953,,,,,-0.01065880562408244,,,,,,,0.2355676665919433,0.1713429309935522,0.15014109526743608,0.12699658202999947,0.1273896042235009,0.11116648413288677,0.07018695002497481,0.07505098595264131,0.02362605742275316,0.07071620331295649,-0.0017524964019042522,-0.042906023463498685,0.0028223735005983267,,,,,,0.021426692308716078,-0.020112260061273684,-0.008723158582188178,0.020112260061274322,-0.0214266923087161,-0.06771132067620116,-0.012359311475033465,0.07885613837879224,-0.015983670425907974
bb_knockdowns_over_4_5,0.49208344447526087,0.49208344447526087,0.6639449655578668,0.809080926955558,1.0,0.26051427317347997,0.11080970568121905,0.050628502757141126,,,,,-0.005621630473972424,,,,,,,0.2906274922426784,0.24861683055917427,0.2319051278275701,0.1768508693643603,0.17916488159433408,0.1328886006640523,0.10350477411410151,0.092760789992969,0.02920110539702653,0.1227673157397852,0.022476521663296726,-0.031937844937018255,-0.022746138919875286,,,,,,0.03204391161967642,-0.03180513380288202,-0.01086587498974561,0.03180513380288202,-0.032043911619676506,-0.11834744171360796,-0.042837149333513645,0.13543555529940263,-0.0120372175206604
bb_red_phsl_over_40_5,0.11127978063551522,0.11127978063551522,0.19397109148883893,0.23487188154376024,0.26051427317347997,1.0,0.41659779045052864,0.1256876771069052,,,,,0.005822897483490018,,,,,,,0.35338610721954167,0.4461453478837471,0.5001262072069927,0.5785083181255848,0.5506196759743881,0.4377225061024042,0.2910216234885575,0.20286843927926226,0.07249313936680694,0.2707605789895206,-0.030556616567606876,-0.005385326537650625,-0.02394050992512454,,,,,,0.07114494763999568,-0.04291367211362221,-0.059088213150950315,0.04291367211362226,-0.07114494763999561,-0.3654011343291026,-0.003926069356637733,0.4058694149094485,-0.04686192650929823
bb_red_phsl_over_67_5,0.022213644726983884,0.022213644726983884,0.06040188566958653,0.08836579808291052,0.11080970568121905,0.41659779045052864,1.0,0.3017002969962442,,,,,0.010006450680772605,,,,,,,0.14721987144357518,0.18586316614815265,0.21992141249949318,0.3028015145469262,0.37379673778079153,0.388975462166325,0.3010989688133738,0.21014427046328937,0.17401229922129166,0.09862762340189248,-0.04455436630998184,-0.030287454341937976,-0.009973563537065983,,,,,,0.013530769299116641,0.00243787377036206,-0.02461601904035595,-0.002437873770362046,-0.013530769299116606,-0.17540211779461892,0.05288413548523264,0.1857077580672065,-0.027269628627341648
bb_red_phsl_over_94_5,0.02491344802535902,0.02491344802535902,0.033614539519336184,0.04096255594111952,0.050628502757141126,0.12568767710690523,0.30170029699624423,1.0,,,,,-0.008416464275412193,,,,,,,0.04441627893827535,0.05607497242755993,0.06635035546693155,0.0913553068697207,0.13213835514341063,0.1261962376301024,0.20472867054165578,-0.005513094679202927,-0.0017355227225144842,-0.003496233028173183,-0.023043540939773167,-0.009137733970222866,-0.0030090270812437193,,,,,,0.012181913933851525,-0.009479871100519182,-0.007426660255340616,0.009479871100519182,-0.012181913933851526,-0.06690377352511546,-0.004605613017566584,0.07393987788722678,-0.008227255055846287
bb_red_phsl_over_121_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_red_phsl_over_148_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
