leg,probability
bb_knockdowns_over_0_5,0.829
bb_knockdowns_over_1_5,0.829
bb_knockdowns_over_2_5,0.727
bb_knockdowns_over_3_5,0.642
bb_knockdowns_over_4_5,0.54
bb_red_phsl_over_40_5,0.16
bb_red_phsl_over_67_5,0.032
bb_red_phsl_over_94_5,0.003
bb_red_phsl_over_121_5,0.0
bb_red_phsl_over_148_5,0.0
bb_red_phsl_over_175_5,0.0
bb_red_phsl_over_202_5,0.0
bb_blue_phsl_over_40_5,0.023
bb_blue_phsl_over_67_5,0.0
bb_blue_phsl_over_94_5,0.0
bb_blue_phsl_over_121_5,0.0
bb_blue_phsl_over_148_5,0.0
bb_blue_phsl_over_175_5,0.0
bb_blue_phsl_over_202_5,0.0
bb_red_tsl_over_40_5,0.604
bb_red_tsl_over_67_5,0.489
bb_red_tsl_over_94_5,0.406
bb_red_tsl_over_121_5,0.265
bb_red_tsl_over_148_5,0.147
bb_red_tsl_over_175_5,0.072
bb_red_tsl_over_202_5,0.03
bb_red_tsl_over_229_5,0.01
bb_red_tsl_over_256_5,0.001
bb_blue_tsl_over_40_5,0.364
bb_blue_tsl_over_67_5,0.15
bb_blue_tsl_over_94_5,0.027
bb_blue_tsl_over_121_5,0.003
bb_blue_tsl_over_148_5,0.0
bb_blue_tsl_over_175_5,0.0
bb_blue_tsl_over_202_5,0.0
bb_blue_tsl_over_229_5,0.0
bb_blue_tsl_over_256_5,0.0
bb_red_win,0.953
bb_blue_win,0.029
bb_draw,0.018
bb_red_win_or_draw,0.971
bb_blue_win_or_draw,0.047
bb_red_ko,0.598
bb_blue_ko,0.007
bb_red_decision,0.355
bb_blue_decision,0.022
