leg,probability
bb_knockdowns_over_0_5,0.824
bb_knockdowns_over_1_5,0.824
bb_knockdowns_over_2_5,0.707
bb_knockdowns_over_3_5,0.618
bb_knockdowns_over_4_5,0.512
bb_red_phsl_over_40_5,0.142
bb_red_phsl_over_67_5,0.023
bb_red_phsl_over_94_5,0.003
bb_red_phsl_over_121_5,0.001
bb_red_phsl_over_148_5,0.0
bb_red_phsl_over_175_5,0.0
bb_red_phsl_over_202_5,0.0
bb_blue_phsl_over_40_5,0.023
bb_blue_phsl_over_67_5,0.0
bb_blue_phsl_over_94_5,0.0
bb_blue_phsl_over_121_5,0.0
bb_blue_phsl_over_148_5,0.0
bb_blue_phsl_over_175_5,0.0
bb_blue_phsl_over_202_5,0.0
bb_red_tsl_over_40_5,0.557
bb_red_tsl_over_67_5,0.436
bb_red_tsl_over_94_5,0.335
bb_red_tsl_over_121_5,0.225
bb_red_tsl_over_148_5,0.116
bb_red_tsl_over_175_5,0.045
bb_red_tsl_over_202_5,0.02
bb_red_tsl_over_229_5,0.007
bb_red_tsl_over_256_5,0.003
bb_blue_tsl_over_40_5,0.3
bb_blue_tsl_over_67_5,0.125
bb_blue_tsl_over_94_5,0.032
bb_blue_tsl_over_121_5,0.002
bb_blue_tsl_over_148_5,0.001
bb_blue_tsl_over_175_5,0.0
bb_blue_tsl_over_202_5,0.0
bb_blue_tsl_over_229_5,0.0
bb_blue_tsl_over_256_5,0.0
bb_red_win,0.945
bb_blue_win,0.033
bb_draw,0.022
bb_red_win_or_draw,0.967
bb_blue_win_or_draw,0.055
bb_red_ko,0.68
bb_blue_ko,0.006
bb_red_decision,0.265
bb_blue_decision,0.027
